type	latitude	longitude	altitude (m)	name
W	20.988367768	107.026062012	0.4	Px12y5
W	20.988367768	107.031211853	1.9	Px13y5
W	20.988367768	107.036361694	0.0	Px14y5
W	20.988367768	107.041511536	0.2	Px15y5
W	20.988367768	107.046661377	0.0	Px16y5
W	20.988367768	107.051811218	0.0	Px17y5
W	20.988367768	107.056961060	2.9	Px18y5
W	20.988367768	107.062110901	-1.5	Px19y5
W	20.988367768	107.067260742	0.3	Px20y5
W	20.988367768	107.072410584	0.0	Px21y5
W	20.988367768	107.077560425	0.0	Px22y5
W	20.988367768	107.082710266	0.0	Px23y5
W	20.988367768	107.087860107	-0.4	Px24y5
W	20.988367768	107.093009949	0.6	Px25y5
W	20.988367768	107.098159790	2.0	Px26y5
W	20.983559525	106.969413757	19.0	Px1y6
W	20.983559525	106.974563599	27.2	Px2y6
W	20.983559525	106.979713440	27.6	Px3y6
W	20.983559525	106.984863281	21.2	Px4y6
W	20.983559525	106.990013123	22.3	Px5y6
W	20.983559525	106.995162964	31.1	Px6y6
W	20.983559525	107.000312805	23.9	Px7y6
W	20.983559525	107.005462646	33.8	Px8y6
W	20.983559525	107.010612488	23.7	Px9y6
W	20.983559525	107.015762329	26.4	Px10y6
W	20.983559525	107.020912170	12.9	Px11y6
W	20.983559525	107.026062012	7.9	Px12y6
W	20.983559525	107.031211853	-0.7	Px13y6
W	20.983559525	107.036361694	2.3	Px14y6
W	20.983559525	107.041511536	0.0	Px15y6
W	20.983559525	107.046661377	0.0	Px16y6
W	20.983559525	107.051811218	0.0	Px17y6
W	20.983559525	107.056961060	0.0	Px18y6
W	20.983559525	107.062110901	0.0	Px19y6
W	20.983559525	107.067260742	0.0	Px20y6
W	20.983559525	107.072410584	0.0	Px21y6
W	20.983559525	107.077560425	0.0	Px22y6
W	20.983559525	107.082710266	2.1	Px23y6
W	20.983559525	107.087860107	0.6	Px24y6
W	20.983559525	107.093009949	4.5	Px25y6
W	20.983559525	107.098159790	19.4	Px26y6
W	20.978751127	106.969413757	17.4	Px1y7
W	20.978751127	106.974563599	78.4	Px2y7
W	20.978751127	106.979713440	71.3	Px3y7
W	20.978751127	106.984863281	57.4	Px4y7
W	20.978751127	106.990013123	22.0	Px5y7
W	20.978751127	106.995162964	17.0	Px6y7
W	20.978751127	107.000312805	23.8	Px7y7
W	20.978751127	107.005462646	24.8	Px8y7
W	20.978751127	107.010612488	16.5	Px9y7
W	20.978751127	107.015762329	14.9	Px10y7
W	20.978751127	107.020912170	10.8	Px11y7
W	20.978751127	107.026062012	2.6	Px12y7
W	20.978751127	107.031211853	0.0	Px13y7
W	20.978751127	107.036361694	5.9	Px14y7
W	20.978751127	107.041511536	25.6	Px15y7
W	20.978751127	107.046661377	7.5	Px16y7
W	20.978751127	107.051811218	0.0	Px17y7
W	20.978751127	107.056961060	0.0	Px18y7
W	20.978751127	107.062110901	0.0	Px19y7
W	20.978751127	107.067260742	0.0	Px20y7
W	20.978751127	107.072410584	15.8	Px21y7
W	20.978751127	107.077560425	-0.4	Px22y7
W	20.978751127	107.082710266	-0.2	Px23y7
W	20.978751127	107.087860107	8.5	Px24y7
W	20.978751127	107.093009949	4.7	Px25y7
W	20.978751127	107.098159790	3.0	Px26y7
W	20.973942575	106.969413757	33.1	Px1y8
W	20.973942575	106.974563599	77.7	Px2y8
W	20.973942575	106.979713440	81.5	Px3y8
W	20.973942575	106.984863281	26.2	Px4y8
W	20.973942575	106.990013123	35.0	Px5y8
W	20.973942575	106.995162964	6.8	Px6y8
W	20.973942575	107.000312805	8.9	Px7y8
W	20.973942575	107.005462646	5.4	Px8y8
W	20.973942575	107.010612488	7.1	Px9y8
W	20.973942575	107.015762329	6.3	Px10y8
W	20.973942575	107.020912170	6.1	Px11y8
W	20.973942575	107.026062012	33.0	Px12y8
W	20.973942575	107.031211853	1.7	Px13y8
W	20.973942575	107.036361694	4.3	Px14y8
W	20.973942575	107.041511536	51.6	Px15y8
W	20.973942575	107.046661377	8.7	Px16y8
W	20.973942575	107.051811218	0.0	Px17y8
W	20.973942575	107.056961060	0.0	Px18y8
W	20.973942575	107.062110901	0.0	Px19y8
W	20.973942575	107.067260742	0.0	Px20y8
W	20.973942575	107.072410584	0.2	Px21y8
W	20.973942575	107.077560425	-1.0	Px22y8
W	20.973942575	107.082710266	7.5	Px23y8
W	20.973942575	107.087860107	22.5	Px24y8
W	20.973942575	107.093009949	12.5	Px25y8
W	20.973942575	107.098159790	3.7	Px26y8
W	20.969133867	106.969413757	33.1	Px1y9
W	20.969133867	106.974563599	92.4	Px2y9
W	20.969133867	106.979713440	29.7	Px3y9
W	20.969133867	106.984863281	83.4	Px4y9
W	20.969133867	106.990013123	75.2	Px5y9
W	20.969133867	106.995162964	14.8	Px6y9
W	20.969133867	107.000312805	76.5	Px7y9
W	20.969133867	107.005462646	58.7	Px8y9
W	20.969133867	107.010612488	18.1	Px9y9
W	20.969133867	107.015762329	31.2	Px10y9
W	20.969133867	107.020912170	20.1	Px11y9
W	20.969133867	107.026062012	87.1	Px12y9
W	20.969133867	107.031211853	72.5	Px13y9
W	20.969133867	107.036361694	20.2	Px14y9
W	20.969133867	107.041511536	-1.2	Px15y9
W	20.969133867	107.046661377	46.6	Px16y9
W	20.969133867	107.051811218	1.5	Px17y9
W	20.969133867	107.056961060	0.0	Px18y9
W	20.969133867	107.062110901	0.0	Px19y9
W	20.969133867	107.067260742	0.0	Px20y9
W	20.969133867	107.072410584	0.0	Px21y9
W	20.969133867	107.077560425	-2.0	Px22y9
W	20.969133867	107.082710266	8.3	Px23y9
W	20.969133867	107.087860107	35.4	Px24y9
W	20.969133867	107.093009949	27.2	Px25y9
W	20.969133867	107.098159790	15.7	Px26y9
W	20.964325005	106.969413757	118.1	Px1y10
W	20.964325005	106.974563599	177.5	Px2y10
W	20.964325005	106.979713440	99.8	Px3y10
W	20.964325005	106.984863281	104.3	Px4y10
W	20.964325005	106.990013123	26.2	Px5y10
W	20.964325005	106.995162964	3.6	Px6y10
W	20.964325005	107.000312805	66.5	Px7y10
W	20.964325005	107.005462646	38.6	Px8y10
W	20.964325005	107.010612488	123.2	Px9y10
W	20.964325005	107.015762329	52.7	Px10y10
W	20.964325005	107.020912170	41.9	Px11y10
W	20.964325005	107.026062012	22.4	Px12y10
W	20.964325005	107.031211853	117.9	Px13y10
W	20.964325005	107.036361694	50.6	Px14y10
W	20.964325005	107.041511536	90.5	Px15y10
W	20.964325005	107.046661377	85.7	Px16y10
W	20.964325005	107.051811218	40.7	Px17y10
W	20.964325005	107.056961060	30.8	Px18y10
W	20.964325005	107.062110901	0.0	Px19y10
W	20.964325005	107.067260742	0.0	Px20y10
W	20.964325005	107.072410584	-1.1	Px21y10
W	20.964325005	107.077560425	1.2	Px22y10
W	20.964325005	107.082710266	3.4	Px23y10
W	20.964325005	107.087860107	11.1	Px24y10
W	20.964325005	107.093009949	31.4	Px25y10
W	20.964325005	107.098159790	12.6	Px26y10
W	20.959515989	106.969413757	98.1	Px1y11
W	20.959515989	106.974563599	90.8	Px2y11
W	20.959515989	106.979713440	123.6	Px3y11
W	20.959515989	106.984863281	19.0	Px4y11
W	20.959515989	106.990013123	2.6	Px5y11
W	20.959515989	106.995162964	0.8	Px6y11
W	20.959515989	107.000312805	3.7	Px7y11
W	20.959515989	107.005462646	1.4	Px8y11
W	20.959515989	107.010612488	4.0	Px9y11
W	20.959515989	107.015762329	7.9	Px10y11
W	20.959515989	107.020912170	3.8	Px11y11
W	20.959515989	107.026062012	15.4	Px12y11
W	20.959515989	107.031211853	21.6	Px13y11
W	20.959515989	107.036361694	100.6	Px14y11
W	20.959515989	107.041511536	133.1	Px15y11
W	20.959515989	107.046661377	39.8	Px16y11
W	20.959515989	107.051811218	16.6	Px17y11
W	20.959515989	107.056961060	41.5	Px18y11
W	20.959515989	107.062110901	5.0	Px19y11
W	20.959515989	107.067260742	1.8	Px20y11
W	20.959515989	107.072410584	5.8	Px21y11
W	20.959515989	107.077560425	31.0	Px22y11
W	20.959515989	107.082710266	13.7	Px23y11
W	20.959515989	107.087860107	7.3	Px24y11
W	20.959515989	107.093009949	15.9	Px25y11
W	20.959515989	107.098159790	68.3	Px26y11
W	20.954706818	106.969413757	6.8	Px1y12
W	20.954706818	106.974563599	6.1	Px2y12
W	20.954706818	106.979713440	4.3	Px3y12
W	20.954706818	106.984863281	0.0	Px4y12
W	20.954706818	106.990013123	0.0	Px5y12
W	20.954706818	106.995162964	0.0	Px6y12
W	20.954706818	107.000312805	0.0	Px7y12
W	20.954706818	107.005462646	0.0	Px8y12
W	20.954706818	107.010612488	2.0	Px9y12
W	20.954706818	107.015762329	1.1	Px10y12
W	20.954706818	107.020912170	4.1	Px11y12
W	20.954706818	107.026062012	32.4	Px12y12
W	20.954706818	107.031211853	45.6	Px13y12
W	20.954706818	107.036361694	129.3	Px14y12
W	20.954706818	107.041511536	43.5	Px15y12
W	20.954706818	107.046661377	14.5	Px16y12
W	20.954706818	107.051811218	1.1	Px17y12
W	20.954706818	107.056961060	0.0	Px18y12
W	20.954706818	107.062110901	0.0	Px19y12
W	20.954706818	107.067260742	0.9	Px20y12
W	20.954706818	107.072410584	52.1	Px21y12
W	20.954706818	107.077560425	81.6	Px22y12
